time	V(n015)
1.302349627922216e-003	-1.342142e+001
1.302377895244476e-003	-1.342185e+001
1.302421155775259e-003	-1.342249e+001
1.302454211237904e-003	-1.342295e+001
1.302495338004577e-003	-1.342350e+001
1.302541251450566e-003	-1.342407e+001
1.302612057622235e-003	-1.342488e+001
1.302753669965580e-003	-1.342631e+001
1.302947285091845e-003	-1.342798e+001
1.303146504092294e-003	-1.342938e+001
1.303358565342083e-003	-1.343056e+001
1.303771503783337e-003	-1.343231e+001
1.304153382606081e-003	-1.343348e+001
1.304712291836679e-003	-1.343461e+001
1.305451604336198e-003	-1.343554e+001
1.306279653755786e-003	-1.343610e+001
1.307935752594962e-003	-1.343659e+001
1.309564418338981e-003	-1.343676e+001
1.312821749827019e-003	-1.343682e+001
1.316717071048031e-003	-1.343683e+001
1.324088505043390e-003	-1.343683e+001
1.332088505043391e-003	-1.343683e+001
1.340088505043392e-003	-1.343683e+001
1.348088505043393e-003	-1.343683e+001
1.356088505043394e-003	-1.343683e+001
1.364088505043395e-003	-1.343683e+001
1.372088505043397e-003	-1.343683e+001
1.373088505043398e-003	-1.343683e+001
1.375088505043400e-003	-1.343683e+001
1.375588505043400e-003	-1.343683e+001
1.376588505043401e-003	-1.343683e+001
1.376838505043401e-003	-1.343683e+001
1.377338505043402e-003	-1.343683e+001
1.377372203838635e-003	-1.343683e+001
1.377417135565620e-003	-1.343683e+001
1.377506999019583e-003	-1.343683e+001
1.377698838364527e-003	-1.343683e+001
1.377811887776734e-003	-1.343683e+001
1.377888135623930e-003	-1.343683e+001
1.377928712793124e-003	-1.343683e+001
1.377962505224172e-003	-1.343683e+001
1.378006434631589e-003	-1.343683e+001
1.378030885127383e-003	-1.343683e+001
1.378059084492199e-003	-1.343683e+001
1.378089894816421e-003	-1.343683e+001
1.378093837288742e-003	-1.343683e+001
1.378094822906822e-003	-1.343683e+001
1.378096794142983e-003	-1.343683e+001
1.378100736615304e-003	-1.343683e+001
1.378102718171993e-003	-1.343683e+001
1.378104959998287e-003	-1.343683e+001
1.378106179480497e-003	-1.343683e+001
1.378107226510938e-003	-1.343683e+001
1.378108120720430e-003	-1.343683e+001
1.378108990263284e-003	-1.343683e+001
1.378109888671070e-003	-1.343683e+001
1.378110873676473e-003	-1.343682e+001
1.378111712180948e-003	-1.343682e+001
1.378112608475125e-003	-1.343682e+001
1.378113154815237e-003	-1.343682e+001
1.378113583109353e-003	-1.343682e+001
1.378114042766020e-003	-1.343681e+001
1.378114583326880e-003	-1.343681e+001
1.378115047177095e-003	-1.343680e+001
1.378115266499995e-003	-1.343679e+001
1.378115478844512e-003	-1.343679e+001
1.378115763821887e-003	-1.343678e+001
1.378116034014346e-003	-1.343677e+001
1.378116345369218e-003	-1.343677e+001
1.378116672791252e-003	-1.343676e+001
1.378117118949918e-003	-1.343674e+001
1.378117697243102e-003	-1.343673e+001
1.378118647131776e-003	-1.343670e+001
1.378119984222784e-003	-1.343665e+001
1.378121755720871e-003	-1.343658e+001
1.378126744101420e-003	-1.343634e+001
1.378145350728267e-003	-1.343499e+001
1.378163957355115e-003	-1.343335e+001
1.378182563981962e-003	-1.343142e+001
1.378201170608809e-003	-1.342920e+001
1.378219777235657e-003	-1.342669e+001
1.378238383862504e-003	-1.342390e+001
1.378256990489352e-003	-1.342081e+001
1.378301977658862e-003	-1.341092e+001
1.378364938788103e-003	-1.338927e+001
1.378396049439214e-003	-1.336639e+001
1.378418217236103e-003	-1.330950e+001
1.378434265659333e-003	-1.319611e+001
1.378451339920123e-003	-1.300389e+001
1.378470403121689e-003	-1.276602e+001
1.378499780425029e-003	-1.239937e+001
1.378515488643928e-003	-1.220346e+001
1.378538677720212e-003	-1.191446e+001
1.378569477156103e-003	-1.153093e+001
1.378607153268881e-003	-1.106226e+001
1.378643975976847e-003	-1.060472e+001
1.378681788111694e-003	-1.013544e+001
1.378722525716136e-003	-9.630463e+000
1.378761160776683e-003	-9.152170e+000
1.378811596489789e-003	-8.528685e+000
1.378866005001686e-003	-7.857279e+000
1.378948606300383e-003	-6.840122e+000
1.379026877727778e-003	-5.878440e+000
1.379087278318543e-003	-5.138020e+000
1.379134741929987e-003	-4.557380e+000
1.379169178040582e-003	-4.136895e+000
1.379193328658199e-003	-3.842569e+000
1.379230743469566e-003	-3.388880e+000
1.379250537457334e-003	-3.156967e+000
1.379277577897839e-003	-2.848488e+000
1.379290206047275e-003	-2.704588e+000
1.379306291340830e-003	-2.521381e+000
1.379328808981652e-003	-2.265075e+000
1.379361938136113e-003	-1.888821e+000
1.379396280017306e-003	-1.505234e+000
1.379433328391432e-003	-1.117996e+000
1.379472360220610e-003	-7.622333e-001
1.379498368472530e-003	-5.727485e-001
1.379527004952710e-003	-4.183892e-001
1.379560140419490e-003	-2.950730e-001
1.379604806815545e-003	-1.899099e-001
1.379639930897771e-003	-1.408114e-001
1.379668895807693e-003	-1.181756e-001
1.379700943943477e-003	-1.036349e-001
1.379735948229252e-003	-9.448289e-002
1.379774172870510e-003	-8.910725e-002
1.379816327268871e-003	-8.616331e-002
1.379866298514276e-003	-8.459981e-002
1.379927653601051e-003	-8.384219e-002
1.380008355306481e-003	-8.347919e-002
1.380120909562285e-003	-8.310650e-002
1.380174564996860e-003	-8.232697e-002
1.380213340431827e-003	-7.952352e-002
1.380268128858830e-003	-7.050924e-002
1.380294261849401e-003	-6.365823e-002
1.380321079067888e-003	-5.485913e-002
1.380351555211504e-003	-4.456741e-002
1.380377693346285e-003	-3.626986e-002
1.380405344971976e-003	-2.852999e-002
1.380431311597527e-003	-2.234188e-002
1.380451679927543e-003	-1.828567e-002
1.380470521702641e-003	-1.515795e-002
1.380489268910885e-003	-1.254378e-002
1.380506582470603e-003	-1.052170e-002
1.380525161948823e-003	-8.707439e-003
1.380542130107472e-003	-7.338715e-003
1.380565212952795e-003	-5.848714e-003
1.380594707253983e-003	-4.385553e-003
1.380629940686495e-003	-3.128465e-003
1.380672748842599e-003	-2.086952e-003
1.380713895593189e-003	-1.429878e-003
1.380758507570946e-003	-9.734127e-004
1.380803073280243e-003	-6.765607e-004
1.380846550023282e-003	-4.864192e-004
1.380890689541073e-003	-3.580670e-004
1.380943537595311e-003	-2.567029e-004
1.381011468879360e-003	-1.724805e-004
1.381083142777108e-003	-1.168278e-004
1.381166774439120e-003	-7.710709e-005
1.381258785368662e-003	-5.033431e-005
1.381379154436181e-003	-2.932818e-005
1.381523033273560e-003	-1.459844e-005
1.381712566271322e-003	-3.687282e-006
1.381935690945385e-003	3.387131e-006
1.382229318503306e-003	8.356618e-006
1.382590383362213e-003	1.156895e-005
1.383081604934659e-003	1.376368e-005
1.383694175138166e-003	1.512173e-005
1.384573677043546e-003	1.604694e-005
1.385713311817076e-003	1.659403e-005
1.387351458406225e-003	1.693520e-005
1.389634252873112e-003	1.713355e-005
1.393003945003683e-003	1.724822e-005
1.397977528879407e-003	1.731106e-005
1.405637637253480e-003	1.734552e-005
1.413637637253482e-003	1.735927e-005
1.421637637253483e-003	1.736526e-005
1.429637637253484e-003	1.736843e-005
1.437637637253485e-003	1.737033e-005
1.445637637253486e-003	1.737153e-005
1.453637637253487e-003	1.737235e-005
1.461637637253488e-003	1.737294e-005
1.469637637253489e-003	1.737340e-005
1.475725690070685e-003	1.737365e-005
1.483014831532070e-003	1.737388e-005
1.491014831532071e-003	1.737410e-005
1.497633806430788e-003	1.737562e-005
1.497750781133615e-003	1.737529e-005
1.497984730539262e-003	1.737446e-005
1.498452629350562e-003	1.737424e-005
1.499392040207249e-003	1.737412e-005
1.499413719611806e-003	1.737417e-005
1.499442625484550e-003	1.737421e-005
1.499478117167177e-003	1.737425e-005
1.499514764557543e-003	1.737428e-005
1.499550413956836e-003	1.737429e-005
1.499564013712679e-003	1.737429e-005
1.499582146720475e-003	2.172279e-005
1.499591249450365e-003	3.979466e-005
1.499596225069198e-003	7.581580e-005
1.499599074724307e-003	1.260601e-004
1.499601558438313e-003	2.111880e-004
1.499604225783664e-003	3.738516e-004
1.499607154817735e-003	6.792048e-004
1.499609897089929e-003	1.162079e-003
1.499612707347872e-003	1.988113e-003
1.499615598455878e-003	3.394630e-003
1.499618606230956e-003	5.807055e-003
1.499621750226353e-003	9.926858e-003
1.499625128237092e-003	1.687351e-002
1.499628419181984e-003	2.700016e-002
1.499632235360329e-003	4.332495e-002
1.499636299100354e-003	6.599080e-002
1.499641844773067e-003	1.047288e-001
1.499650175931636e-003	1.751886e-001
1.499662083634716e-003	2.919786e-001
1.499672887863263e-003	4.097321e-001
1.499684158950153e-003	5.418547e-001
1.499701191314047e-003	7.504052e-001
1.499716915801079e-003	9.481059e-001
1.499735159615961e-003	1.181153e+000
1.499754248139203e-003	1.426813e+000
1.499778990320562e-003	1.746327e+000
1.499804348276283e-003	2.074131e+000
1.499831445363357e-003	2.424385e+000
1.499858976298722e-003	2.780012e+000
1.499890063025929e-003	3.181209e+000
1.499924058407709e-003	3.619477e+000
1.499964215135631e-003	4.136535e+000
1.500010883399509e-003	4.736552e+000
1.500069650692604e-003	5.490763e+000
1.500144418152098e-003	6.448076e+000
1.500249455143196e-003	7.788605e+000
1.500406349940045e-003	9.783049e+000
1.500552821137945e-003	1.163704e+001
1.500632814685404e-003	1.263051e+001
1.500685764836467e-003	1.314882e+001
1.500731445592658e-003	1.335663e+001
1.500756511733696e-003	1.338300e+001
1.500789507997577e-003	1.339387e+001
1.500812559938322e-003	1.339918e+001
1.500826994760729e-003	1.340189e+001
1.500838508633584e-003	1.340385e+001
1.500851621611399e-003	1.340588e+001
1.500867285385676e-003	1.340810e+001
1.500883541610050e-003	1.341019e+001
1.500902180915066e-003	1.341236e+001
1.500923105658775e-003	1.341457e+001
1.500949495550928e-003	1.341705e+001
1.500982349380696e-003	1.341978e+001
1.501027980122603e-003	1.342304e+001
1.501093453134726e-003	1.342690e+001
1.501204653983894e-003	1.343194e+001
1.501413347396771e-003	1.343851e+001
1.501814414058819e-003	1.344651e+001
1.502325333428825e-003	1.345238e+001
1.503224719669932e-003	1.345774e+001
1.504233966090979e-003	1.346072e+001
1.505536085541825e-003	1.346227e+001
1.507002468227249e-003	1.346288e+001
1.509075834723657e-003	1.346313e+001
1.511778735090605e-003	1.346321e+001
1.516206604583244e-003	1.346323e+001
1.523595769935930e-003	1.346323e+001
1.531595769935931e-003	1.346323e+001
1.539595769935932e-003	1.346323e+001
1.547595769935933e-003	1.346323e+001
1.555595769935934e-003	1.346323e+001
1.563595769935935e-003	1.346323e+001
1.571595769935937e-003	1.346323e+001
1.571720769935933e-003	1.346323e+001
1.571970769935933e-003	1.346323e+001
1.572470769935934e-003	1.346323e+001
1.573470769935935e-003	1.346323e+001
1.575470769935937e-003	1.346323e+001
1.575533269935939e-003	1.346323e+001
1.575658269935935e-003	1.346323e+001
1.575908269935936e-003	1.346323e+001
1.576408269935936e-003	1.346323e+001
1.577439519935935e-003	1.346323e+001
1.577502019935936e-003	1.346323e+001
1.577627019935933e-003	1.346323e+001
1.577690199217975e-003	1.346323e+001
1.577816557782052e-003	1.346323e+001
1.577871003275590e-003	1.346323e+001
1.577926892076559e-003	1.346323e+001
1.577948211553479e-003	1.346323e+001
1.577948996754529e-003	1.346323e+001
1.577950567156629e-003	1.346323e+001
1.577953707960829e-003	1.346322e+001
1.577957927262487e-003	1.346322e+001
1.577961843618483e-003	1.346322e+001
1.577965760452306e-003	1.346322e+001
1.577969875370559e-003	1.346321e+001
1.577974165470855e-003	1.346319e+001
1.577980073613088e-003	1.346315e+001
1.577983418635361e-003	1.346312e+001
1.577990519278344e-003	1.346299e+001
1.577995232509240e-003	1.346287e+001
1.578003929580990e-003	1.346262e+001
1.578013428532879e-003	1.346230e+001
1.578025763773992e-003	1.346182e+001
1.578038958661307e-003	1.346127e+001
1.578056089936608e-003	1.346050e+001
1.578075497912237e-003	1.345958e+001
1.578097065347596e-003	1.345852e+001
1.578120518376608e-003	1.345732e+001
1.578142774306915e-003	1.345614e+001
1.578165467366180e-003	1.345490e+001
1.578187772287500e-003	1.345364e+001
1.578210944934044e-003	1.345228e+001
1.578234142015897e-003	1.345087e+001
1.578258310683714e-003	1.344934e+001
1.578283017603661e-003	1.344770e+001
1.578309277392609e-003	1.344587e+001
1.578337056005255e-003	1.344381e+001
1.578367619629179e-003	1.344139e+001
1.578401496405792e-003	1.343847e+001
1.578440667142099e-003	1.343471e+001
1.578486818983961e-003	1.342954e+001
1.578543962509574e-003	1.342166e+001
1.578597473759491e-003	1.341201e+001
1.578636874124746e-003	1.340208e+001
1.578666103817378e-003	1.339117e+001
1.578691347165977e-003	1.337639e+001
1.578709669574185e-003	1.335824e+001
1.578720420356367e-003	1.333814e+001
1.578727796861246e-003	1.330958e+001
1.578734093998606e-003	1.326252e+001
1.578741438842436e-003	1.318255e+001
1.578748930670684e-003	1.309032e+001
1.578759059704032e-003	1.296338e+001
1.578770703234304e-003	1.281739e+001
1.578784229925703e-003	1.264779e+001
1.578799408034778e-003	1.245747e+001
1.578816807655613e-003	1.223930e+001
1.578834646544347e-003	1.201563e+001
1.578858477314545e-003	1.171682e+001
1.578885347507351e-003	1.137991e+001
1.578925951332133e-003	1.087079e+001
1.578979701180733e-003	1.019685e+001
1.579076441048086e-003	8.983882e+000
1.579253412624750e-003	6.764972e+000
1.579607355778070e-003	2.403042e+000
1.579746578561941e-003	8.682399e-001
1.579809840227417e-003	3.485062e-001
1.579843382200998e-003	1.729724e-001
1.579859882194570e-003	1.196182e-001
1.579880229083494e-003	7.591524e-002
1.579899703071028e-003	4.613791e-002
1.579915786532507e-003	2.896331e-002
1.579929523133121e-003	1.851691e-002
1.579941431568199e-003	1.187366e-002
1.579952870459055e-003	7.132926e-003
1.579964358920154e-003	3.631060e-003
1.579977482475875e-003	8.296400e-004
1.579994050706642e-003	-1.521595e-003
1.580006548604192e-003	-2.637210e-003
1.580016488001108e-003	-3.155409e-003
1.580026420615908e-003	-3.443741e-003
1.580036454185717e-003	-3.574142e-003
1.580046429057791e-003	-3.581803e-003
1.580057959062638e-003	-3.486106e-003
1.580069559483102e-003	-3.315475e-003
1.580082447809161e-003	-3.071765e-003
1.580095597930195e-003	-2.794857e-003
1.580109982026054e-003	-2.483994e-003
1.580124863956825e-003	-2.173443e-003
1.580141501032258e-003	-1.855172e-003
1.580160831374508e-003	-1.526318e-003
1.580173067551947e-003	-1.344842e-003
1.580184922416739e-003	-1.193603e-003
1.580198989701881e-003	-1.039687e-003
1.580214646103036e-003	-8.961172e-004
1.580230951928378e-003	-7.747140e-004
1.580249033725334e-003	-6.691194e-004
1.580269624050001e-003	-5.791926e-004
1.580295583391553e-003	-5.015038e-004
1.580333568226421e-003	-4.309208e-004
1.580368547815195e-003	-3.956018e-004
1.580413650203241e-003	-3.753142e-004
1.580461208206110e-003	-3.675674e-004
1.580547437226451e-003	-3.650627e-004
1.580662749886427e-003	-3.654391e-004
1.580771541261142e-003	-3.658494e-004
1.580989124010578e-003	-3.658997e-004
1.581309074737365e-003	-3.658867e-004
1.581948976190940e-003	-3.658895e-004
1.582946005513487e-003	-3.658891e-004
1.583877589940420e-003	-3.658892e-004
1.585018430893363e-003	-3.658891e-004
1.586250534809632e-003	-3.658892e-004
1.587983324890477e-003	-3.658892e-004
1.590092925271340e-003	-3.658892e-004
1.593342494989519e-003	-3.658892e-004
1.598116581924519e-003	-3.658892e-004
1.606116581924520e-003	-3.658892e-004
1.614116581924521e-003	-3.658892e-004
1.622116581924522e-003	-3.658892e-004
1.630116581924523e-003	-3.658892e-004
1.638116581924524e-003	-3.658892e-004
1.646116581924526e-003	-3.658892e-004
1.654116581924527e-003	-3.658892e-004
1.662116581924528e-003	-3.658892e-004
1.670116581924529e-003	-3.658892e-004
1.676329457843337e-003	-3.658892e-004
1.683239385599986e-003	-3.658892e-004
1.691239385599987e-003	-3.658892e-004
1.697717282352282e-003	-3.658886e-004
1.697877986310298e-003	-3.658888e-004
1.698199394226323e-003	-3.658892e-004
1.698370472131512e-003	-3.658892e-004
1.698509269278975e-003	-3.658891e-004
1.698680000637935e-003	-3.658892e-004
1.698922051617251e-003	-3.658892e-004
1.699281247046790e-003	-3.658892e-004
1.699392155911209e-003	-3.658892e-004
1.699449365429623e-003	-3.658892e-004
1.699492149624081e-003	-3.658892e-004
1.699544097779046e-003	-3.658892e-004
1.699552555366475e-003	-3.658892e-004
1.699569470541333e-003	-3.658892e-004
1.699603300891049e-003	-3.658892e-004
1.699604329972605e-003	-3.658892e-004
1.699606388135724e-003	-3.658892e-004
1.699610504461963e-003	-3.666306e-004
1.699618737114432e-003	-3.726963e-004
1.699621914035561e-003	-3.821488e-004
1.699623934557228e-003	-3.986981e-004
1.699624952931821e-003	-4.159964e-004
1.699625625827698e-003	-4.356590e-004
1.699626196209850e-003	-4.617505e-004
1.699626804023621e-003	-5.054208e-004
1.699627496654893e-003	-5.850492e-004
1.699628156544147e-003	-7.112968e-004
1.699628870590664e-003	-9.408903e-004
1.699629592435449e-003	-1.334368e-003
1.699630506639009e-003	-2.119534e-003
1.699631373193761e-003	-3.198945e-003
1.699632367205051e-003	-4.820388e-003
1.699633014924033e-003	-6.089678e-003
1.699633469680252e-003	-7.106122e-003
1.699633910262892e-003	-8.186907e-003
1.699634416644259e-003	-9.531819e-003
1.699634955837102e-003	-1.106080e-002
1.699635212243957e-003	-1.182742e-002
1.699635424099039e-003	-1.248760e-002
1.699635672063465e-003	-1.328500e-002
1.699635960319641e-003	-1.424090e-002
1.699636234253794e-003	-1.517898e-002
1.699636538704183e-003	-1.625680e-002
1.699636877603342e-003	-1.750053e-002
1.699637329468498e-003	-1.923045e-002
1.699637936166627e-003	-2.168342e-002
1.699638900417341e-003	-2.587099e-002
1.699640279010699e-003	-3.240700e-002
1.699642046929441e-003	-4.169806e-002
1.699644390006021e-003	-5.543224e-002
1.699647074425548e-003	-7.309995e-002
1.699651035810663e-003	-1.029646e-001
1.699658958580902e-003	-1.714027e-001
1.699667983008565e-003	-2.596047e-001
1.699678766236223e-003	-3.763889e-001
1.699691869151830e-003	-5.287533e-001
1.699706067807387e-003	-7.017206e-001
1.699720037850558e-003	-8.769481e-001
1.699737856995842e-003	-1.104396e+000
1.699762018733397e-003	-1.415779e+000
1.699786556560924e-003	-1.733579e+000
1.699812193549609e-003	-2.066356e+000
1.699850044325296e-003	-2.558051e+000
1.699897739626491e-003	-3.177771e+000
1.699964974879779e-003	-4.051425e+000
1.700061684164277e-003	-5.308064e+000
1.700110130611589e-003	-5.937572e+000
1.700139168790478e-003	-6.314888e+000
1.700158703621238e-003	-6.565511e+000
1.700171991420689e-003	-6.728302e+000
1.700182979734434e-003	-6.855818e+000
1.700198993431386e-003	-7.037583e+000
1.700219693442667e-003	-7.271801e+000
1.700235645955825e-003	-7.452038e+000
1.700246319416406e-003	-7.572570e+000
1.700264080068396e-003	-7.773075e+000
1.700284256642828e-003	-8.000791e+000
1.700330668549119e-003	-8.524427e+000
1.700357065642477e-003	-8.822179e+000
1.700390823868574e-003	-9.202913e+000
1.700433308561677e-003	-9.682010e+000
1.700494803234122e-003	-1.037540e+001
1.700591428558912e-003	-1.146482e+001
1.700645161884160e-003	-1.206729e+001
1.700684478311038e-003	-1.248956e+001
1.700725507691701e-003	-1.287540e+001
1.700767954784445e-003	-1.318542e+001
1.700791956052751e-003	-1.329053e+001
1.700817610224351e-003	-1.333566e+001
1.700845191202428e-003	-1.335398e+001
1.700865888606268e-003	-1.336137e+001
1.700897004659335e-003	-1.336879e+001
1.700928187419959e-003	-1.337423e+001
1.700981263547258e-003	-1.338100e+001
1.701040920825070e-003	-1.338660e+001
1.701145693677832e-003	-1.339360e+001
1.701280294879842e-003	-1.339986e+001
1.701513817564761e-003	-1.340736e+001
1.701633068955849e-003	-1.341024e+001
1.701708392336451e-003	-1.341171e+001
1.701752737394112e-003	-1.341255e+001
1.701786824807108e-003	-1.341329e+001
1.701807015756500e-003	-1.341380e+001
1.701837788950687e-003	-1.341462e+001
1.701865417465164e-003	-1.341534e+001
1.701916672893503e-003	-1.341657e+001
1.701929700423114e-003	-1.341687e+001
1.701942727952726e-003	-1.341716e+001
1.701955755482338e-003	-1.341744e+001
1.701968783011949e-003	-1.341772e+001
1.701981810541561e-003	-1.341800e+001
1.701994838071172e-003	-1.341827e+001
1.702007865600784e-003	-1.341853e+001
1.702019551652875e-003	-1.341876e+001
1.702030128823230e-003	-1.341897e+001
1.702045306925561e-003	-1.341925e+001
1.702065150684329e-003	-1.341962e+001
1.702083616715193e-003	-1.341996e+001
1.702102374401306e-003	-1.342029e+001
1.702123391454036e-003	-1.342064e+001
1.702144705201816e-003	-1.342100e+001
1.702169409441345e-003	-1.342139e+001
1.702197971762402e-003	-1.342183e+001
1.702240630608143e-003	-1.342246e+001
1.702273546839085e-003	-1.342292e+001
1.702314504783614e-003	-1.342347e+001
1.702360184432233e-003	-1.342404e+001
1.702430302199187e-003	-1.342485e+001
1.702570537733095e-003	-1.342627e+001
1.702760288923771e-003	-1.342791e+001
1.702955559263558e-003	-1.342931e+001
1.703167220658247e-003	-1.343050e+001
1.703570647918692e-003	-1.343223e+001
1.703953602855968e-003	-1.343343e+001
1.704503090826107e-003	-1.343456e+001
1.705243966093215e-003	-1.343551e+001
1.706071082864191e-003	-1.343608e+001
1.707725316406138e-003	-1.343659e+001
1.709367128310588e-003	-1.343676e+001
1.712650752119488e-003	-1.343682e+001
1.716507589014815e-003	-1.343683e+001
1.723736148715072e-003	-1.343683e+001
1.731736148715073e-003	-1.343683e+001
1.739736148715074e-003	-1.343683e+001
1.747736148715075e-003	-1.343683e+001
1.755736148715076e-003	-1.343683e+001
1.763736148715077e-003	-1.343683e+001
1.771736148715078e-003	-1.343683e+001
1.772736148715079e-003	-1.343683e+001
1.774736148715081e-003	-1.343683e+001
1.775236148715081e-003	-1.343683e+001
1.776236148715082e-003	-1.343683e+001
1.776486148715083e-003	-1.343683e+001
1.776986148715083e-003	-1.343683e+001
1.776997377449213e-003	-1.343683e+001
1.777154579727061e-003	-1.343683e+001
1.777334239473169e-003	-1.343683e+001
1.777391239350730e-003	-1.343683e+001
1.777448239228291e-003	-1.343683e+001
1.777505239105852e-003	-1.343683e+001
