v3	V(vout)
-9.460000000000000e-001	-1.367242e+000
-9.450000000000000e-001	-1.363784e+000
-9.440000000000000e-001	-1.360337e+000
-9.430000000000000e-001	-1.356900e+000
-9.420000000000000e-001	-1.353473e+000
-9.410000000000000e-001	-1.350056e+000
-9.400000000000000e-001	-1.346650e+000
-9.390000000000000e-001	-1.343255e+000
-9.379999999999999e-001	-1.339870e+000
-9.369999999999999e-001	-1.336496e+000
-9.359999999999999e-001	-1.333133e+000
-9.349999999999999e-001	-1.329782e+000
-9.339999999999999e-001	-1.326441e+000
-9.329999999999999e-001	-1.323112e+000
-9.319999999999999e-001	-1.319794e+000
-9.309999999999999e-001	-1.316488e+000
-9.299999999999999e-001	-1.313193e+000
-9.289999999999999e-001	-1.309910e+000
-9.279999999999999e-001	-1.306639e+000
-9.269999999999999e-001	-1.303380e+000
-9.259999999999999e-001	-1.300133e+000
-9.249999999999999e-001	-1.296898e+000
-9.239999999999999e-001	-1.293676e+000
-9.229999999999999e-001	-1.290466e+000
-9.219999999999999e-001	-1.287269e+000
-9.209999999999999e-001	-1.284084e+000
-9.199999999999999e-001	-1.280912e+000
-9.189999999999999e-001	-1.277753e+000
-9.179999999999999e-001	-1.274606e+000
-9.169999999999999e-001	-1.271473e+000
-9.159999999999999e-001	-1.268353e+000
-9.149999999999999e-001	-1.265247e+000
-9.139999999999999e-001	-1.262154e+000
-9.129999999999999e-001	-1.259074e+000
-9.119999999999999e-001	-1.256007e+000
-9.109999999999999e-001	-1.252955e+000
-9.099999999999999e-001	-1.249916e+000
-9.089999999999999e-001	-1.246891e+000
-9.079999999999999e-001	-1.243879e+000
-9.069999999999999e-001	-1.240882e+000
-9.059999999999999e-001	-1.237899e+000
-9.049999999999999e-001	-1.234929e+000
-9.039999999999999e-001	-1.231974e+000
-9.029999999999999e-001	-1.229033e+000
-9.019999999999999e-001	-1.226107e+000
-9.009999999999999e-001	-1.223195e+000
-8.999999999999999e-001	-1.220297e+000
-8.989999999999999e-001	-1.217413e+000
-8.979999999999999e-001	-1.214544e+000
-8.969999999999999e-001	-1.211689e+000
-8.959999999999999e-001	-1.208849e+000
-8.949999999999999e-001	-1.206024e+000
-8.939999999999999e-001	-1.203212e+000
-8.929999999999999e-001	-1.200416e+000
-8.919999999999999e-001	-1.197634e+000
-8.909999999999999e-001	-1.194866e+000
-8.899999999999999e-001	-1.192114e+000
-8.889999999999999e-001	-1.189375e+000
-8.879999999999999e-001	-1.186651e+000
-8.869999999999999e-001	-1.183942e+000
-8.859999999999999e-001	-1.181247e+000
-8.849999999999999e-001	-1.178566e+000
-8.839999999999999e-001	-1.175900e+000
-8.829999999999999e-001	-1.173248e+000
-8.819999999999999e-001	-1.170611e+000
-8.809999999999999e-001	-1.167988e+000
-8.799999999999999e-001	-1.165378e+000
-8.789999999999999e-001	-1.162783e+000
-8.779999999999999e-001	-1.160202e+000
-8.769999999999999e-001	-1.157635e+000
-8.759999999999999e-001	-1.155082e+000
-8.749999999999999e-001	-1.152542e+000
-8.739999999999999e-001	-1.150016e+000
-8.729999999999999e-001	-1.147503e+000
-8.719999999999999e-001	-1.145004e+000
-8.709999999999999e-001	-1.142519e+000
-8.699999999999999e-001	-1.140046e+000
-8.689999999999999e-001	-1.137586e+000
-8.679999999999999e-001	-1.135140e+000
-8.669999999999999e-001	-1.132706e+000
-8.659999999999999e-001	-1.130284e+000
-8.649999999999999e-001	-1.127875e+000
-8.639999999999999e-001	-1.125479e+000
-8.629999999999999e-001	-1.123095e+000
-8.619999999999999e-001	-1.120722e+000
-8.609999999999999e-001	-1.118362e+000
-8.599999999999999e-001	-1.116013e+000
-8.589999999999999e-001	-1.113676e+000
-8.579999999999999e-001	-1.111350e+000
-8.569999999999999e-001	-1.109035e+000
-8.559999999999999e-001	-1.106731e+000
-8.549999999999999e-001	-1.104438e+000
-8.539999999999999e-001	-1.102156e+000
-8.529999999999999e-001	-1.099884e+000
-8.519999999999999e-001	-1.097623e+000
-8.509999999999999e-001	-1.095371e+000
-8.499999999999999e-001	-1.093130e+000
-8.489999999999999e-001	-1.090898e+000
-8.479999999999999e-001	-1.088676e+000
-8.469999999999999e-001	-1.086463e+000
-8.459999999999999e-001	-1.084260e+000
-8.449999999999999e-001	-1.082065e+000
-8.439999999999999e-001	-1.079879e+000
-8.429999999999999e-001	-1.077702e+000
-8.419999999999999e-001	-1.075534e+000
-8.409999999999999e-001	-1.073373e+000
-8.399999999999999e-001	-1.071221e+000
-8.389999999999999e-001	-1.069077e+000
-8.379999999999999e-001	-1.066940e+000
-8.369999999999999e-001	-1.064811e+000
-8.359999999999999e-001	-1.062690e+000
-8.349999999999999e-001	-1.060575e+000
-8.339999999999999e-001	-1.058468e+000
-8.329999999999999e-001	-1.056368e+000
-8.319999999999999e-001	-1.054274e+000
-8.309999999999999e-001	-1.052187e+000
-8.299999999999999e-001	-1.050107e+000
-8.289999999999999e-001	-1.048032e+000
-8.279999999999999e-001	-1.045964e+000
-8.269999999999999e-001	-1.043902e+000
-8.259999999999999e-001	-1.041845e+000
-8.249999999999998e-001	-1.039795e+000
-8.239999999999998e-001	-1.037749e+000
-8.229999999999998e-001	-1.035709e+000
-8.219999999999998e-001	-1.033675e+000
-8.209999999999998e-001	-1.031645e+000
-8.199999999999998e-001	-1.029621e+000
-8.189999999999998e-001	-1.027601e+000
-8.179999999999998e-001	-1.025586e+000
-8.169999999999998e-001	-1.023575e+000
-8.159999999999998e-001	-1.021569e+000
-8.149999999999998e-001	-1.019568e+000
-8.139999999999998e-001	-1.017570e+000
-8.129999999999998e-001	-1.015577e+000
-8.119999999999998e-001	-1.013588e+000
-8.109999999999998e-001	-1.011603e+000
-8.099999999999998e-001	-1.009621e+000
-8.089999999999998e-001	-1.007644e+000
-8.079999999999998e-001	-1.005670e+000
-8.069999999999998e-001	-1.003699e+000
-8.059999999999998e-001	-1.001732e+000
-8.049999999999998e-001	-9.997680e-001
-8.039999999999998e-001	-9.978073e-001
-8.029999999999998e-001	-9.958499e-001
-8.019999999999998e-001	-9.938956e-001
-8.009999999999998e-001	-9.919443e-001
-7.999999999999998e-001	-9.899958e-001
-7.989999999999998e-001	-9.880503e-001
-7.979999999999998e-001	-9.861075e-001
-7.969999999999998e-001	-9.841675e-001
-7.959999999999998e-001	-9.822301e-001
-7.949999999999998e-001	-9.802952e-001
-7.939999999999998e-001	-9.783629e-001
-7.929999999999998e-001	-9.764329e-001
