time	V(n002)	V(n005)
2.078855629132092e-004	5.754442e+000	-1.340730e+001
2.079093335358279e-004	5.758248e+000	-1.341243e+001
2.079279244776400e-004	5.760426e+000	-1.341588e+001
2.079394557356526e-004	5.761438e+000	-1.341777e+001
2.079502783615332e-004	5.762218e+000	-1.341940e+001
2.079621178845618e-004	5.762978e+000	-1.342106e+001
2.079882772887671e-004	5.764561e+000	-1.342435e+001
2.080030448607614e-004	5.765467e+000	-1.342601e+001
2.080198682510625e-004	5.766530e+000	-1.342777e+001
2.080407087846569e-004	5.767892e+000	-1.342976e+001
2.080677071670083e-004	5.769726e+000	-1.343208e+001
2.081107330296540e-004	5.772746e+000	-1.343535e+001
2.081935282260312e-004	5.778662e+000	-1.344052e+001
2.082413098380941e-004	5.782057e+000	-1.344296e+001
2.084324308684036e-004	5.795492e+000	-1.345037e+001
2.087848796362779e-004	5.819859e+000	-1.345853e+001
2.097255926328074e-004	5.882915e+000	-1.346894e+001
2.130967187521779e-004	6.087399e+000	-1.347694e+001
2.172181711672903e-004	6.292566e+000	-1.347770e+001
2.202359345381635e-004	6.414216e+000	-1.347774e+001
2.241421845381635e-004	6.538807e+000	-1.347772e+001
2.280484345381635e-004	6.628804e+000	-1.347770e+001
2.319546845381635e-004	6.683915e+000	-1.347768e+001
2.358609345381635e-004	6.706039e+000	-1.347766e+001
2.397671845381635e-004	6.697021e+000	-1.347764e+001
2.436734345381635e-004	6.658644e+000	-1.347762e+001
2.475796845381635e-004	6.592635e+000	-1.347760e+001
2.514859345381635e-004	6.500661e+000	-1.347757e+001
2.553921845381635e-004	6.384336e+000	-1.347755e+001
2.592984345381635e-004	6.245216e+000	-1.347753e+001
2.632046845381635e-004	6.084803e+000	-1.347751e+001
2.671109345381635e-004	5.904545e+000	-1.347749e+001
2.710171845381635e-004	5.705838e+000	-1.347747e+001
2.749234345381635e-004	5.490025e+000	-1.347744e+001
2.788296845381635e-004	5.258397e+000	-1.347742e+001
2.866421845381635e-004	4.752618e+000	-1.347738e+001
2.944546845381636e-004	4.197856e+000	-1.347733e+001
2.983609345381636e-004	3.904824e+000	-1.347731e+001
3.022671845381636e-004	3.602715e+000	-1.347729e+001
3.061734345381636e-004	3.292492e+000	-1.347727e+001
3.100796845381636e-004	2.975078e+000	-1.347725e+001
3.139859345381636e-004	2.651349e+000	-1.347722e+001
