time	V(in,-)	V(out)	V(in,+)
1.862157929866763e-003	1.378421e+000	3.471858e+000	2.000000e+000
1.868854358438192e-003	1.311456e+000	3.473137e+000	2.000000e+000
1.875550787009620e-003	1.244492e+000	3.474197e+000	2.000000e+000
1.882247215581049e-003	1.177528e+000	3.475038e+000	2.000000e+000
1.888943644152477e-003	1.110564e+000	3.475661e+000	2.000000e+000
1.895640072723906e-003	1.043599e+000	3.476064e+000	2.000000e+000
1.902336501295334e-003	9.766350e-001	3.476249e+000	2.000000e+000
1.908195876295334e-003	9.180412e-001	3.476455e+000	2.000000e+000
1.914055251295334e-003	8.594475e-001	3.476606e+000	2.000000e+000
1.919914626295334e-003	8.008537e-001	3.476698e+000	2.000000e+000
1.925774001295334e-003	7.422600e-001	3.476692e+000	2.000000e+000
1.931633376295334e-003	6.836662e-001	3.476489e+000	2.000000e+000
1.937492751295334e-003	6.250725e-001	3.475975e+000	2.000000e+000
1.943352126295334e-003	5.664787e-001	3.475121e+000	2.000000e+000
1.949211501295334e-003	5.078850e-001	3.473988e+000	2.000000e+000
1.955070876295334e-003	4.492913e-001	3.472639e+000	2.000000e+000
1.960930251295334e-003	3.906975e-001	3.471108e+000	2.000000e+000
1.966789626295334e-003	3.321038e-001	3.469404e+000	2.000000e+000
1.978508376295333e-003	2.149163e-001	3.465433e+000	2.000000e+000
1.994140627000002e-003	5.859375e-002	3.458632e+000	2.000000e+000
2.000000002000002e-003	2.664535e-015	3.455505e+000	2.000000e+000
2.005495880041183e-003	5.495878e-002	3.457698e+000	2.000000e+000
2.010991758082364e-003	1.099176e-001	3.459854e+000	2.000000e+000
2.016487636123544e-003	1.648763e-001	3.461972e+000	2.000000e+000
2.021983514164725e-003	2.198351e-001	3.464053e+000	2.000000e+000
2.027479392205906e-003	2.747939e-001	3.466096e+000	2.000000e+000
2.032975270247087e-003	3.297527e-001	3.468101e+000	2.000000e+000
2.038471148288268e-003	3.847115e-001	3.470069e+000	2.000000e+000
2.044330523288267e-003	4.433052e-001	3.471707e+000	2.000000e+000
2.050189898288267e-003	5.018989e-001	3.473170e+000	2.000000e+000
2.056049273288267e-003	5.604927e-001	3.474441e+000	2.000000e+000
2.061908648288267e-003	6.190864e-001	3.475477e+000	2.000000e+000
2.067768023288267e-003	6.776802e-001	3.476209e+000	2.000000e+000
2.073627398288266e-003	7.362739e-001	3.476601e+000	2.000000e+000
2.079486773288266e-003	7.948677e-001	3.476715e+000	2.000000e+000
2.085346148288266e-003	8.534614e-001	3.476672e+000	2.000000e+000
2.091205523288266e-003	9.120552e-001	3.476555e+000	2.000000e+000
2.097064898288265e-003	9.706489e-001	3.476384e+000	2.000000e+000
2.114643023288265e-003	1.146430e+000	3.475474e+000	2.000000e+000
2.120502398288265e-003	1.205024e+000	3.475160e+000	2.000000e+000
2.126361773288264e-003	1.263618e+000	3.474568e+000	2.000000e+000
2.132221148288264e-003	1.322212e+000	3.473699e+000	2.000000e+000
2.138080523288264e-003	1.380805e+000	3.472552e+000	2.000000e+000
2.143939898288264e-003	1.439399e+000	3.471128e+000	2.000000e+000
2.149799273288264e-003	1.497993e+000	3.469425e+000	2.000000e+000
2.155658648288263e-003	1.556587e+000	3.467445e+000	2.000000e+000
2.160680969716835e-003	1.606810e+000	3.465934e+000	2.000000e+000
2.165703291145406e-003	1.657033e+000	3.463137e+000	2.000000e+000
2.170725612573977e-003	1.707256e+000	3.459056e+000	2.000000e+000
2.175747934002549e-003	1.757479e+000	3.453689e+000	2.000000e+000
2.180770255431120e-003	1.807703e+000	3.447038e+000	2.000000e+000
2.185792576859691e-003	1.857926e+000	3.439102e+000	2.000000e+000
2.190814898288262e-003	1.908149e+000	3.429881e+000	2.000000e+000
2.196674273288262e-003	1.966743e+000	3.398439e+000	2.000000e+000
2.201173574223491e-003	2.011736e+000	2.977798e+000	2.000000e+000
2.203540643617555e-003	2.035406e+000	2.357332e+000	2.000000e+000
2.206250960950747e-003	2.062510e+000	1.600225e+000	2.000000e+000
2.206387989545827e-003	2.063880e+000	1.594123e+000	2.000000e+000
2.208666515094268e-003	2.086665e+000	1.582443e+000	2.000000e+000
2.210945040642710e-003	2.109450e+000	1.572629e+000	2.000000e+000
2.213223566191152e-003	2.132236e+000	1.564682e+000	2.000000e+000
2.215502091739593e-003	2.155021e+000	1.558601e+000	2.000000e+000
2.217780617288035e-003	2.177806e+000	1.554387e+000	2.000000e+000
2.220059142836477e-003	2.200591e+000	1.552039e+000	2.000000e+000
2.222337668384918e-003	2.223377e+000	1.551558e+000	2.000000e+000
2.235730525527775e-003	2.357305e+000	1.541521e+000	2.000000e+000
2.249123382670631e-003	2.491234e+000	1.533482e+000	2.000000e+000
2.262516239813488e-003	2.625162e+000	1.527443e+000	2.000000e+000
2.275909096956345e-003	2.759091e+000	1.523402e+000	2.000000e+000
2.289301954099202e-003	2.893020e+000	1.521360e+000	2.000000e+000
2.302694811242058e-003	3.026948e+000	1.521316e+000	2.000000e+000
2.316087668384915e-003	3.160877e+000	1.523272e+000	2.000000e+000
2.500335547238663e-003	4.996644e+000	1.523272e+000	2.000000e+000
2.721674921117092e-003	2.783251e+000	1.523574e+000	2.000000e+000
2.739253046117091e-003	2.607470e+000	1.526513e+000	2.000000e+000
2.746786528259948e-003	2.532135e+000	1.526953e+000	2.000000e+000
2.754320010402805e-003	2.456800e+000	1.529506e+000	2.000000e+000
2.761853492545662e-003	2.381465e+000	1.534171e+000	2.000000e+000
2.769386974688519e-003	2.306130e+000	1.540950e+000	2.000000e+000
2.776920456831376e-003	2.230795e+000	1.549842e+000	2.000000e+000
2.784453938974232e-003	2.155461e+000	1.560847e+000	2.000000e+000
2.791987421117089e-003	2.080126e+000	1.573965e+000	2.000000e+000
2.798579217992089e-003	2.014208e+000	1.601956e+000	2.000000e+000
2.800044061742089e-003	1.999559e+000	1.624944e+000	2.000000e+000
2.801295996189694e-003	1.987040e+000	1.747002e+000	2.000000e+000
2.802405272012973e-003	1.975947e+000	2.125120e+000	2.000000e+000
2.803694284764059e-003	1.963057e+000	2.784893e+000	2.000000e+000
2.805027928400095e-003	1.949721e+000	3.266317e+000	2.000000e+000
2.806271498104506e-003	1.937285e+000	3.402434e+000	2.000000e+000
2.810787480846041e-003	1.892125e+000	3.420452e+000	2.000000e+000
2.815303463587577e-003	1.846965e+000	3.435316e+000	2.000000e+000
2.819819446329112e-003	1.801806e+000	3.447025e+000	2.000000e+000
2.824335429070648e-003	1.756646e+000	3.455580e+000	2.000000e+000
2.828851411812184e-003	1.711486e+000	3.460979e+000	2.000000e+000
2.833367394553719e-003	1.666326e+000	3.463224e+000	2.000000e+000
2.837883377295255e-003	1.621166e+000	3.462315e+000	2.000000e+000
2.855461502295255e-003	1.445385e+000	3.470359e+000	2.000000e+000
2.862157930866683e-003	1.378421e+000	3.471858e+000	2.000000e+000
2.868854359438111e-003	1.311456e+000	3.473137e+000	2.000000e+000
2.875550788009540e-003	1.244492e+000	3.474197e+000	2.000000e+000
2.882247216580968e-003	1.177528e+000	3.475038e+000	2.000000e+000
2.888943645152396e-003	1.110564e+000	3.475661e+000	2.000000e+000
2.895640073723825e-003	1.043599e+000	3.476064e+000	2.000000e+000
2.902336502295253e-003	9.766350e-001	3.476249e+000	2.000000e+000
2.908195877295253e-003	9.180412e-001	3.476455e+000	2.000000e+000
2.914055252295252e-003	8.594475e-001	3.476606e+000	2.000000e+000
2.919914627295252e-003	8.008537e-001	3.476698e+000	2.000000e+000
2.925774002295252e-003	7.422600e-001	3.476692e+000	2.000000e+000
2.931633377295252e-003	6.836662e-001	3.476489e+000	2.000000e+000
2.937492752295252e-003	6.250725e-001	3.475975e+000	2.000000e+000
2.943352127295251e-003	5.664787e-001	3.475121e+000	2.000000e+000
2.949211502295251e-003	5.078850e-001	3.473988e+000	2.000000e+000
2.955070877295251e-003	4.492913e-001	3.472639e+000	2.000000e+000
2.960930252295251e-003	3.906975e-001	3.471108e+000	2.000000e+000
2.966789627295251e-003	3.321038e-001	3.469404e+000	2.000000e+000
2.978508377295250e-003	2.149163e-001	3.465433e+000	2.000000e+000
2.994140628000004e-003	5.859375e-002	3.458632e+000	2.000000e+000
3.000000003000004e-003	0.000000e+000	3.455505e+000	2.000000e+000
