time	V(in)	V(out)
3.000673898428678e-003	0.000000e+000	1.307891e-002
3.000715836766097e-003	0.000000e+000	8.847550e-003
3.000756904241832e-003	0.000000e+000	6.033110e-003
3.000798705921185e-003	0.000000e+000	4.091753e-003
3.000839904182447e-003	0.000000e+000	2.792901e-003
3.000881695108120e-003	0.000000e+000	1.900162e-003
3.000923091001232e-003	0.000000e+000	1.300462e-003
3.000964958708097e-003	0.000000e+000	8.899070e-004
3.001006627562757e-003	0.000000e+000	6.133324e-004
3.001048764606609e-003	0.000000e+000	4.251333e-004
3.001093259918938e-003	0.000000e+000	2.938283e-004
3.001146076799827e-003	0.000000e+000	1.944629e-004
3.001205837559043e-003	0.000000e+000	1.268337e-004
3.001277473150650e-003	0.000000e+000	8.215798e-005
3.001467151732659e-003	0.000000e+000	4.215422e-005
3.425169486194988e-003	0.000000e+000	3.327207e-005
3.500000001000000e-003	0.000000e+000	3.327207e-005
3.500000002000000e-003	1.000000e+000	3.327205e-005
3.500000376479999e-003	1.000000e+000	8.590783e-005
3.500000750959997e-003	1.000000e+000	2.181478e-004
3.500001125439996e-003	1.000000e+000	4.299919e-004
3.500001499919994e-003	1.000000e+000	7.214402e-004
3.500001874399993e-003	1.000000e+000	1.092493e-003
3.500002248879991e-003	1.000000e+000	1.543149e-003
3.500002623359989e-003	1.000000e+000	2.073410e-003
3.500004754302460e-003	1.000000e+000	6.221119e-003
3.500007869748858e-003	1.000000e+000	1.573052e-002
3.500012215714602e-003	1.000000e+000	3.495493e-002
3.500018085238219e-003	1.000000e+000	7.006665e-002
3.500025891136609e-003	1.000000e+000	1.295020e-001
3.500036182493819e-003	1.000000e+000	2.239864e-001
3.500049810733005e-003	1.000000e+000	3.672541e-001
3.500065769919381e-003	1.000000e+000	5.507042e-001
3.500111276336926e-003	1.000000e+000	1.096762e+000
3.500147895506308e-003	1.000000e+000	1.505780e+000
3.500186272008933e-003	1.000000e+000	1.876950e+000
3.500226604793207e-003	1.000000e+000	2.190355e+000
3.500266919508530e-003	1.000000e+000	2.425268e+000
3.500314879664037e-003	1.000000e+000	2.617299e+000
3.500383876431292e-003	1.000000e+000	2.798290e+000
3.500424751450864e-003	1.000000e+000	2.866898e+000
3.500505602288316e-003	1.000000e+000	2.936723e+000
3.500628139639781e-003	1.000000e+000	2.979796e+000
3.500826176167994e-003	1.000000e+000	2.990072e+000
3.501024212696208e-003	1.000000e+000	2.997880e+000
3.501222249224421e-003	1.000000e+000	3.003221e+000
3.501420285752634e-003	1.000000e+000	3.006095e+000
3.501618322280847e-003	1.000000e+000	3.006501e+000
3.501816358809060e-003	1.000000e+000	3.004439e+000
3.502014395337273e-003	1.000000e+000	2.999910e+000
4.000000000000000e-003	1.000000e+000	2.999910e+000
4.000000001000001e-003	0.000000e+000	2.999910e+000
4.000006035029357e-003	0.000000e+000	2.984405e+000
4.000012069058713e-003	0.000000e+000	2.960478e+000
4.000018103088069e-003	0.000000e+000	2.928130e+000
4.000024137117424e-003	0.000000e+000	2.887359e+000
4.000030171146780e-003	0.000000e+000	2.838168e+000
4.000036205176136e-003	0.000000e+000	2.780554e+000
4.000042239205492e-003	0.000000e+000	2.714519e+000
4.000073666793799e-003	0.000000e+000	2.354685e+000
4.000126244567010e-003	0.000000e+000	1.730031e+000
4.000164009280839e-003	0.000000e+000	1.329257e+000
4.000203727984778e-003	0.000000e+000	9.759662e-001
4.000243326676928e-003	0.000000e+000	7.014517e-001
4.000286198706349e-003	0.000000e+000	4.855987e-001
4.000339069909494e-003	0.000000e+000	3.011663e-001
4.000382923125577e-003	0.000000e+000	1.981907e-001
4.000422710214115e-003	0.000000e+000	1.367493e-001
4.000466416596853e-003	0.000000e+000	9.113187e-002
4.000507635775871e-003	0.000000e+000	6.190502e-002
4.000550316882666e-003	0.000000e+000	4.153034e-002
4.000590948548200e-003	0.000000e+000	2.837927e-002
4.000633008662349e-003	0.000000e+000	1.916726e-002
4.000673898459737e-003	0.000000e+000	1.307890e-002
4.000715836796905e-003	0.000000e+000	8.847548e-003
4.000756904272854e-003	0.000000e+000	6.033109e-003
4.000798705952045e-003	0.000000e+000	4.091752e-003
4.000839904213467e-003	0.000000e+000	2.792900e-003
4.000881695139058e-003	0.000000e+000	1.900161e-003
4.000923091032326e-003	0.000000e+000	1.300461e-003
4.000964958739185e-003	0.000000e+000	8.899067e-004
4.001006627594035e-003	0.000000e+000	6.133323e-004
4.001048764638001e-003	0.000000e+000	4.251332e-004
4.001093259956886e-003	0.000000e+000	2.938282e-004
4.001146076841715e-003	0.000000e+000	1.944628e-004
4.001205837609784e-003	0.000000e+000	1.268337e-004
4.001277473208457e-003	0.000000e+000	8.215796e-005
4.001467151821555e-003	0.000000e+000	4.215421e-005
4.500000001000000e-003	0.000000e+000	3.327207e-005
4.500000002000000e-003	9.999996e-001	3.327205e-005
4.500000376479836e-003	9.999999e-001	8.590779e-005
4.500000750959672e-003	1.000000e+000	2.181476e-004
4.500001125439508e-003	1.000000e+000	4.299916e-004
4.500001499919345e-003	1.000000e+000	7.214397e-004
4.500001874399181e-003	1.000000e+000	1.092492e-003
4.500002248879017e-003	1.000000e+000	1.543148e-003
4.500002623358853e-003	1.000000e+000	2.073409e-003
4.500004754300869e-003	1.000000e+000	6.221115e-003
4.500007869746452e-003	1.000000e+000	1.573051e-002
4.500012215711449e-003	1.000000e+000	3.495492e-002
4.500018085233852e-003	1.000000e+000	7.006662e-002
4.500025891130985e-003	1.000000e+000	1.295020e-001
4.500036182486246e-003	1.000000e+000	2.239863e-001
4.500049810723096e-003	1.000000e+000	3.672540e-001
4.500065769908143e-003	1.000000e+000	5.507041e-001
4.500111276317188e-003	1.000000e+000	1.096762e+000
4.500147895479711e-003	1.000000e+000	1.505780e+000
4.500186271983559e-003	1.000000e+000	1.876949e+000
4.500226604765955e-003	1.000000e+000	2.190355e+000
4.500266919480878e-003	1.000000e+000	2.425268e+000
4.500314879627276e-003	1.000000e+000	2.617299e+000
4.500383876365030e-003	1.000000e+000	2.798290e+000
4.500424751370588e-003	1.000000e+000	2.866898e+000
4.500505602219528e-003	1.000000e+000	2.936723e+000
4.500628139569178e-003	1.000000e+000	2.979796e+000
4.500826175997210e-003	1.000000e+000	2.990072e+000
4.501024212425242e-003	1.000000e+000	2.997880e+000
4.501222248853274e-003	1.000000e+000	3.003221e+000
4.501420285281306e-003	1.000000e+000	3.006095e+000
4.501618321709339e-003	1.000000e+000	3.006501e+000
4.501816358137370e-003	1.000000e+000	3.004439e+000
4.502014394565402e-003	1.000000e+000	2.999910e+000
5.000000000000000e-003	1.000000e+000	2.999910e+000
5.000000001000001e-003	0.000000e+000	2.999910e+000
5.000006035029357e-003	0.000000e+000	2.984405e+000
5.000012069058713e-003	0.000000e+000	2.960478e+000
5.000018103088069e-003	0.000000e+000	2.928130e+000
5.000024137117424e-003	0.000000e+000	2.887359e+000
5.000030171146780e-003	0.000000e+000	2.838168e+000
5.000036205176136e-003	0.000000e+000	2.780554e+000
5.000042239205492e-003	0.000000e+000	2.714519e+000
5.000073666793799e-003	0.000000e+000	2.354685e+000
5.000126244567010e-003	0.000000e+000	1.730031e+000
5.000164009280839e-003	0.000000e+000	1.329257e+000
5.000203727984778e-003	0.000000e+000	9.759662e-001
5.000243326676928e-003	0.000000e+000	7.014517e-001
5.000286198706349e-003	0.000000e+000	4.855987e-001
5.000339069909494e-003	0.000000e+000	3.011663e-001
5.000382923125577e-003	0.000000e+000	1.981907e-001
5.000422710214115e-003	0.000000e+000	1.367493e-001
5.000466416596853e-003	0.000000e+000	9.113187e-002
5.000507635775871e-003	0.000000e+000	6.190502e-002
5.000550316882666e-003	0.000000e+000	4.153034e-002
5.000590948548200e-003	0.000000e+000	2.837927e-002
5.000633008662349e-003	0.000000e+000	1.916726e-002
5.000673898459737e-003	0.000000e+000	1.307890e-002
5.000715836796905e-003	0.000000e+000	8.847548e-003
5.000756904272854e-003	0.000000e+000	6.033109e-003
5.000798705952045e-003	0.000000e+000	4.091752e-003
5.000839904213470e-003	0.000000e+000	2.792900e-003
5.000881695139060e-003	0.000000e+000	1.900161e-003
5.000923091032328e-003	0.000000e+000	1.300461e-003
5.000964958739187e-003	0.000000e+000	8.899067e-004
5.001006627594038e-003	0.000000e+000	6.133323e-004
5.001048764638002e-003	0.000000e+000	4.251332e-004
5.001093259956889e-003	0.000000e+000	2.938282e-004
5.001146076841718e-003	0.000000e+000	1.944628e-004
5.001205837609787e-003	0.000000e+000	1.268337e-004
5.001277473208460e-003	0.000000e+000	8.215796e-005
5.001467151821555e-003	0.000000e+000	4.215421e-005
5.500000001000000e-003	0.000000e+000	3.327207e-005
5.500000002000001e-003	1.000000e+000	3.327205e-005
5.500000376480162e-003	1.000000e+000	8.590787e-005
5.500000750960322e-003	1.000000e+000	2.181479e-004
5.500001125440484e-003	1.000000e+000	4.299923e-004
5.500001499920644e-003	1.000000e+000	7.214408e-004
5.500001874400805e-003	1.000000e+000	1.092494e-003
5.500002248880966e-003	1.000000e+000	1.543151e-003
5.500002623361127e-003	1.000000e+000	2.073412e-003
5.500004754304053e-003	1.000000e+000	6.221123e-003
5.500007869751264e-003	1.000000e+000	1.573053e-002
5.500012215717757e-003	1.000000e+000	3.495495e-002
5.500018085242586e-003	1.000000e+000	7.006668e-002
5.500025891142234e-003	1.000000e+000	1.295021e-001
5.500036182501393e-003	1.000000e+000	2.239865e-001
5.500049810742915e-003	1.000000e+000	3.672542e-001
5.500065769930621e-003	1.000000e+000	5.507044e-001
5.500111276356669e-003	1.000000e+000	1.096762e+000
5.500147895532913e-003	1.000000e+000	1.505781e+000
5.500186272034314e-003	1.000000e+000	1.876950e+000
5.500226604820468e-003	1.000000e+000	2.190356e+000
5.500266919536190e-003	1.000000e+000	2.425268e+000
5.500314879700810e-003	1.000000e+000	2.617299e+000
5.500383876497572e-003	1.000000e+000	2.798290e+000
5.500424751531161e-003	1.000000e+000	2.866898e+000
5.500505602357123e-003	1.000000e+000	2.936723e+000
5.500628139710403e-003	1.000000e+000	2.979796e+000
5.500826176338812e-003	1.000000e+000	2.990072e+000
5.501024212967220e-003	1.000000e+000	2.997880e+000
5.501222249595629e-003	1.000000e+000	3.003221e+000
5.501420286224037e-003	1.000000e+000	3.006095e+000
5.501618322852446e-003	1.000000e+000	3.006501e+000
5.501816359480855e-003	1.000000e+000	3.004439e+000
5.502014396109263e-003	1.000000e+000	2.999910e+000
5.998118164879615e-003	1.000000e+000	2.999910e+000
6.000000000000000e-003	1.000000e+000	2.999910e+000
