time	V(in,+)	V(out)	V(in,-)
1.969704632530591e-003	9.088611e-001	1.347743e+001	6.000000e+000
1.975564007530591e-003	7.330799e-001	1.347697e+001	6.000000e+000
1.981423382530591e-003	5.572986e-001	1.347517e+001	6.000000e+000
1.987282757530591e-003	3.815173e-001	1.347145e+001	6.000000e+000
1.993142132530591e-003	2.057361e-001	1.346627e+001	6.000000e+000
1.996137615938826e-003	1.158716e-001	1.346268e+001	6.000000e+000
2.000000002000002e-003	5.329071e-015	1.345730e+001	6.000000e+000
2.000501760284091e-003	1.505275e-002	1.345679e+001	6.000000e+000
2.004454908697306e-003	1.336472e-001	1.345974e+001	6.000000e+000
2.006781207251170e-003	2.034362e-001	1.346258e+001	6.000000e+000
2.010596783938250e-003	3.179035e-001	1.346681e+001	6.000000e+000
2.015981499936291e-003	4.794450e-001	1.347163e+001	6.000000e+000
2.021840874936291e-003	6.552262e-001	1.347526e+001	6.000000e+000
2.027700249936291e-003	8.310074e-001	1.347702e+001	6.000000e+000
2.033559624936291e-003	1.006789e+000	1.347745e+001	6.000000e+000
2.039418999936290e-003	1.182570e+000	1.347746e+001	6.000000e+000
2.179390364194434e-003	5.381711e+000	1.347396e+001	6.000000e+000
2.190652409973558e-003	5.719572e+000	1.345760e+001	6.000000e+000
2.196511784973558e-003	5.895353e+000	1.284099e+001	6.000000e+000
2.202371159973558e-003	6.071135e+000	9.447832e+000	6.000000e+000
2.204729168104462e-003	6.141875e+000	6.176672e+000	6.000000e+000
2.207554193984674e-003	6.226626e+000	1.600729e+000	6.000000e+000
2.207602631745830e-003	6.228079e+000	1.566074e+000	6.000000e+000
2.209210218210333e-003	6.276306e+000	1.555256e+000	6.000000e+000
2.210817804674836e-003	6.324534e+000	1.546340e+000	6.000000e+000
2.212425391139339e-003	6.372762e+000	1.539325e+000	6.000000e+000
2.214032977603842e-003	6.420989e+000	1.534212e+000	6.000000e+000
2.215640564068345e-003	6.469217e+000	1.531000e+000	6.000000e+000
2.217248150532848e-003	6.517444e+000	1.529689e+000	6.000000e+000
2.218855736997351e-003	6.565672e+000	1.530279e+000	6.000000e+000
2.236433861997350e-003	7.093016e+000	1.523061e+000	6.000000e+000
2.500335547238663e-003	1.498993e+001	1.523146e+000	6.000000e+000
2.540232069164433e-003	1.379304e+001	1.522639e+000	6.000000e+000
2.580128591090203e-003	1.259614e+001	1.522449e+000	6.000000e+000
2.620025113015972e-003	1.139925e+001	1.522577e+000	6.000000e+000
2.659921634941742e-003	1.020235e+001	1.523022e+000	6.000000e+000
2.699818156867511e-003	9.005455e+000	1.523784e+000	6.000000e+000
2.739714678793281e-003	7.808560e+000	1.524863e+000	6.000000e+000
2.779611200719051e-003	6.611664e+000	1.526259e+000	6.000000e+000
2.790865756733746e-003	6.274027e+000	1.543009e+000	6.000000e+000
2.796725131733746e-003	6.098246e+000	1.569292e+000	6.000000e+000
2.800647659501740e-003	5.980570e+000	2.196029e+000	6.000000e+000
2.802640343900508e-003	5.920790e+000	3.934579e+000	6.000000e+000
2.804066695557005e-003	5.877999e+000	6.843921e+000	6.000000e+000
2.805574823801246e-003	5.832756e+000	1.082300e+001	6.000000e+000
2.806695915980771e-003	5.799123e+000	1.338555e+001	6.000000e+000
2.809056536345036e-003	5.728304e+000	1.342352e+001	6.000000e+000
2.811417156709301e-003	5.657486e+000	1.345302e+001	6.000000e+000
2.813777777073566e-003	5.586667e+000	1.347405e+001	6.000000e+000
2.816138397437830e-003	5.515848e+000	1.348662e+001	6.000000e+000
2.818499017802095e-003	5.445030e+000	1.349071e+001	6.000000e+000
2.820859638166360e-003	5.374211e+000	1.348634e+001	6.000000e+000
2.823220258530625e-003	5.303392e+000	1.347349e+001	6.000000e+000
2.842472490673481e-003	4.725825e+000	1.347511e+001	6.000000e+000
2.861724722816338e-003	4.148258e+000	1.347638e+001	6.000000e+000
2.880976954959194e-003	3.570692e+000	1.347729e+001	6.000000e+000
2.900229187102051e-003	2.993125e+000	1.347786e+001	6.000000e+000
2.919481419244907e-003	2.415558e+000	1.347807e+001	6.000000e+000
2.938733651387763e-003	1.837991e+000	1.347793e+001	6.000000e+000
2.957985883530620e-003	1.260424e+000	1.347744e+001	6.000000e+000
2.963845258530620e-003	1.084642e+000	1.347746e+001	6.000000e+000
2.969704633530620e-003	9.088611e-001	1.347743e+001	6.000000e+000
2.975564008530619e-003	7.330799e-001	1.347697e+001	6.000000e+000
2.981423383530619e-003	5.572986e-001	1.347517e+001	6.000000e+000
2.987282758530619e-003	3.815173e-001	1.347145e+001	6.000000e+000
2.993142133530619e-003	2.057361e-001	1.346627e+001	6.000000e+000
2.996137616938775e-003	1.158716e-001	1.346268e+001	6.000000e+000
3.000000003000004e-003	0.000000e+000	1.345730e+001	6.000000e+000
3.000501761284092e-003	1.505275e-002	1.345679e+001	6.000000e+000
3.004454909697360e-003	1.336472e-001	1.345974e+001	6.000000e+000
3.006781208251165e-003	2.034362e-001	1.346258e+001	6.000000e+000
3.010596784938260e-003	3.179035e-001	1.346681e+001	6.000000e+000
3.015981500936465e-003	4.794450e-001	1.347163e+001	6.000000e+000
3.021840875936465e-003	6.552262e-001	1.347526e+001	6.000000e+000
3.027700250936465e-003	8.310074e-001	1.347702e+001	6.000000e+000
3.033559625936465e-003	1.006789e+000	1.347745e+001	6.000000e+000
3.039419000936464e-003	1.182570e+000	1.347746e+001	6.000000e+000
3.179390365194631e-003	5.381711e+000	1.347396e+001	6.000000e+000
3.190652410973768e-003	5.719572e+000	1.345760e+001	6.000000e+000
3.196511785973767e-003	5.895353e+000	1.284099e+001	6.000000e+000
3.202371160973767e-003	6.071135e+000	9.447832e+000	6.000000e+000
3.204729169104735e-003	6.141875e+000	6.176672e+000	6.000000e+000
3.207554194984786e-003	6.226626e+000	1.600729e+000	6.000000e+000
3.207602632745916e-003	6.228079e+000	1.566074e+000	6.000000e+000
3.209210219210138e-003	6.276306e+000	1.555256e+000	6.000000e+000
3.210817805674361e-003	6.324534e+000	1.546340e+000	6.000000e+000
3.212425392138584e-003	6.372762e+000	1.539325e+000	6.000000e+000
3.214032978602808e-003	6.420989e+000	1.534212e+000	6.000000e+000
3.215640565067031e-003	6.469217e+000	1.531000e+000	6.000000e+000
3.217248151531254e-003	6.517444e+000	1.529689e+000	6.000000e+000
3.218855737995476e-003	6.565672e+000	1.530279e+000	6.000000e+000
3.236433862995476e-003	7.093016e+000	1.523061e+000	6.000000e+000
3.500335548093146e-003	1.498993e+001	1.523146e+000	6.000000e+000
3.540232069262425e-003	1.379304e+001	1.522639e+000	6.000000e+000
3.580128590431705e-003	1.259614e+001	1.522449e+000	6.000000e+000
3.620025111600984e-003	1.139925e+001	1.522577e+000	6.000000e+000
3.659921632770264e-003	1.020235e+001	1.523022e+000	6.000000e+000
3.699818153939544e-003	9.005455e+000	1.523784e+000	6.000000e+000
3.739714675108823e-003	7.808560e+000	1.524863e+000	6.000000e+000
3.779611196278103e-003	6.611664e+000	1.526259e+000	6.000000e+000
3.790865751852976e-003	6.274027e+000	1.543009e+000	6.000000e+000
3.796725126852976e-003	6.098246e+000	1.569291e+000	6.000000e+000
3.800647664153051e-003	5.980570e+000	2.196032e+000	6.000000e+000
3.802640349179765e-003	5.920790e+000	3.934587e+000	6.000000e+000
3.804066702221717e-003	5.877999e+000	6.843936e+000	6.000000e+000
3.805574831552809e-003	5.832755e+000	1.082302e+001	6.000000e+000
3.806695920837511e-003	5.799122e+000	1.338555e+001	6.000000e+000
3.809056541071136e-003	5.728304e+000	1.342352e+001	6.000000e+000
3.811417161304761e-003	5.657485e+000	1.345302e+001	6.000000e+000
3.813777781538385e-003	5.586667e+000	1.347405e+001	6.000000e+000
3.816138401772009e-003	5.515848e+000	1.348662e+001	6.000000e+000
3.818499022005633e-003	5.445030e+000	1.349071e+001	6.000000e+000
3.820859642239258e-003	5.374211e+000	1.348634e+001	6.000000e+000
3.823220262472882e-003	5.303392e+000	1.347349e+001	6.000000e+000
3.842472494615739e-003	4.725825e+000	1.347511e+001	6.000000e+000
