time	V(vin+)	V(vout)
2.498484130137232e-003	9.478925e-003	3.110236e-002
2.502669397994374e-003	-1.678969e-002	-4.767395e-002
2.506854665851517e-003	-4.303764e-002	-1.263901e-001
2.511039933708660e-003	-6.926492e-002	-2.050461e-001
2.515225201565803e-003	-9.547153e-002	-2.836419e-001
2.519410469422945e-003	-1.216575e-001	-3.621776e-001
2.536988594422945e-003	-2.303197e-001	-6.880924e-001
2.554566719422944e-003	-3.361752e-001	-1.005622e+000
2.572144844422943e-003	-4.379341e-001	-1.310896e+000
2.589722969422943e-003	-5.343563e-001	-1.600195e+000
2.607301094422942e-003	-6.242668e-001	-1.869993e+000
2.624879219422941e-003	-7.065700e-001	-2.117003e+000
2.642457344422941e-003	-7.802628e-001	-2.338215e+000
2.660035469422940e-003	-8.444473e-001	-2.530933e+000
2.677613594422939e-003	-8.983414e-001	-2.692808e+000
2.695191719422939e-003	-9.412881e-001	-2.821867e+000
2.712769844422938e-003	-9.727643e-001	-2.916539e+000
2.730347969422938e-003	-9.923863e-001	-2.975669e+000
2.747926094422937e-003	-9.999151e-001	-2.998537e+000
2.765504219422936e-003	-9.952588e-001	-2.984864e+000
2.783082344422936e-003	-9.784743e-001	-2.934818e+000
2.800660469422935e-003	-9.497660e-001	-2.849007e+000
2.818238594422934e-003	-9.094837e-001	-2.728477e+000
2.835816719422934e-003	-8.581185e-001	-2.574698e+000
2.853394844422933e-003	-7.962962e-001	-2.389543e+000
2.870972969422932e-003	-7.247701e-001	-2.175268e+000
2.888551094422932e-003	-6.444120e-001	-1.934486e+000
2.906129219422931e-003	-5.562010e-001	-1.670129e+000
2.923707344422931e-003	-4.612122e-001	-1.385420e+000
2.941285469422930e-003	-3.606030e-001	-1.083827e+000
2.958863594422929e-003	-2.555994e-001	-7.690271e-001
2.976441719422929e-003	-1.474811e-001	-4.448551e-001
2.994019844422928e-003	-3.756559e-002	-1.152617e-001
3.005738594422928e-003	3.604884e-002	1.054970e-001
3.023316719422927e-003	1.459798e-001	4.351902e-001
3.040894844422926e-003	2.541318e-001	7.595806e-001
3.058472969422926e-003	3.591869e-001	1.074715e+000
3.076051094422925e-003	4.598650e-001	1.376754e+000
3.093629219422924e-003	5.549391e-001	1.662015e+000
3.111207344422924e-003	6.432507e-001	1.927024e+000
3.128785469422923e-003	7.237236e-001	2.168551e+000
3.146363594422923e-003	7.953771e-001	2.383652e+000
3.163941719422922e-003	8.573382e-001	2.569706e+000
3.181519844422921e-003	9.088517e-001	2.724446e+000
3.199097969422921e-003	9.492899e-001	2.845986e+000
3.216676094422920e-003	9.781599e-001	2.932846e+000
3.234254219422919e-003	9.951100e-001	2.983966e+000
3.251832344422919e-003	9.999337e-001	2.998724e+000
3.269410469422918e-003	9.925721e-001	2.976939e+000
3.286988594422917e-003	9.731150e-001	2.918878e+000
3.304566719422917e-003	9.417995e-001	2.825248e+000
3.322144844422916e-003	8.990071e-001	2.697189e+000
3.339722969422916e-003	8.452593e-001	2.536262e+000
3.357301094422915e-003	7.812112e-001	2.344429e+000
3.374879219422914e-003	7.076432e-001	2.124026e+000
3.392457344422914e-003	6.254518e-001	1.877741e+000
3.410035469422913e-003	5.356386e-001	1.608573e+000
3.427613594422912e-003	4.392981e-001	1.319803e+000
3.445191719422912e-003	3.376043e-001	1.014951e+000
3.462769844422911e-003	2.317964e-001	6.977307e-001
3.480347969422910e-003	1.231638e-001	3.720081e-001
3.497926094422910e-003	1.303036e-002	4.175255e-002
3.515504219422909e-003	-9.726188e-002	-2.890114e-001
3.533082344422909e-003	-2.063689e-001	-6.162530e-001
3.550660469422908e-003	-3.129611e-001	-9.359844e-001
3.568238594422907e-003	-4.157395e-001	-1.244309e+000
3.585816719422907e-003	-5.134517e-001	-1.537471e+000
3.603394844422906e-003	-6.049069e-001	-1.811896e+000
3.620972969422905e-003	-6.889907e-001	-2.064240e+000
3.638551094422905e-003	-7.646785e-001	-2.291430e+000
3.656129219422904e-003	-8.310478e-001	-2.490695e+000
3.673707344422903e-003	-8.872899e-001	-2.659608e+000
3.691285469422903e-003	-9.327194e-001	-2.796110e+000
3.708863594422902e-003	-9.667827e-001	-2.898538e+000
3.726441719422902e-003	-9.890649e-001	-2.965644e+000
3.744019844422901e-003	-9.992942e-001	-2.996610e+000
3.761597969422900e-003	-9.973460e-001	-2.991059e+000
3.779176094422900e-003	-9.832441e-001	-2.949058e+000
3.796754219422899e-003	-9.571604e-001	-2.871119e+000
3.814332344422898e-003	-9.194126e-001	-2.758193e+000
3.831910469422898e-003	-8.704608e-001	-2.611655e+000
3.849488594422897e-003	-8.109015e-001	-2.433290e+000
3.867066719422896e-003	-7.414606e-001	-2.225273e+000
3.884644844422896e-003	-6.629841e-001	-1.990138e+000
3.902222969422895e-003	-5.764285e-001	-1.730751e+000
3.919801094422895e-003	-4.828485e-001	-1.450273e+000
3.937379219422896e-003	-3.833844e-001	-1.152122e+000
3.954957344422897e-003	-2.792485e-001	-8.399298e-001
3.972535469422897e-003	-1.717096e-001	-5.175023e-001
3.990113594422898e-003	-6.207818e-002	-1.887681e-001
3.994298862280041e-003	-3.576822e-002	-1.098718e-001
3.998484130137184e-003	-9.478925e-003	-3.103568e-002
4.002669397994327e-003	1.678969e-002	4.774029e-002
4.006854665851470e-003	4.303764e-002	1.264561e-001
4.011039933708613e-003	6.926492e-002	2.051117e-001
4.015225201565756e-003	9.547153e-002	2.837072e-001
4.019410469422899e-003	1.216575e-001	3.622425e-001
4.036988594422900e-003	2.303197e-001	6.881559e-001
4.054566719422901e-003	3.361752e-001	1.005684e+000
4.072144844422901e-003	4.379341e-001	1.310957e+000
4.089722969422902e-003	5.343563e-001	1.600255e+000
4.107301094422903e-003	6.242668e-001	1.870053e+000
4.124879219422903e-003	7.065700e-001	2.117063e+000
4.142457344422904e-003	7.802628e-001	2.338275e+000
4.160035469422905e-003	8.444473e-001	2.530993e+000
4.177613594422905e-003	8.983414e-001	2.692868e+000
4.195191719422906e-003	9.412881e-001	2.821929e+000
4.212769844422907e-003	9.727643e-001	2.916602e+000
4.230347969422907e-003	9.923863e-001	2.975734e+000
4.247926094422908e-003	9.999151e-001	2.998603e+000
4.265504219422909e-003	9.952588e-001	2.984932e+000
4.283082344422909e-003	9.784743e-001	2.934886e+000
4.300660469422910e-003	9.497660e-001	2.849077e+000
4.318238594422911e-003	9.094837e-001	2.728548e+000
4.335816719422911e-003	8.581185e-001	2.574770e+000
4.353394844422912e-003	7.962962e-001	2.389615e+000
4.370972969422913e-003	7.247701e-001	2.175341e+000
4.388551094422913e-003	6.444120e-001	1.934559e+000
4.406129219422914e-003	5.562010e-001	1.670202e+000
4.423707344422915e-003	4.612122e-001	1.385492e+000
4.441285469422915e-003	3.606030e-001	1.083898e+000
4.458863594422916e-003	2.555994e-001	7.690969e-001
4.476441719422917e-003	1.474811e-001	4.449236e-001
4.494019844422917e-003	3.756559e-002	1.153287e-001
4.505738594422918e-003	-3.604884e-002	-1.054309e-001
4.523316719422918e-003	-1.459798e-001	-4.351255e-001
4.540894844422919e-003	-2.541318e-001	-7.595173e-001
4.558472969422920e-003	-3.591869e-001	-1.074653e+000
4.576051094422920e-003	-4.598650e-001	-1.376693e+000
4.593629219422921e-003	-5.549391e-001	-1.661955e+000
4.611207344422922e-003	-6.432507e-001	-1.926965e+000
4.628785469422922e-003	-7.237236e-001	-2.168491e+000
