time	V(in,-)	V(out)	V(in,+)
1.303439161634897e-003	2.000000e+000	3.478229e+000	3.034392e+000
1.315994965206326e-003	2.000000e+000	3.476730e+000	3.159950e+000
1.500335546238661e-003	2.000000e+000	3.476730e+000	4.996644e+000
1.721674920117098e-003	2.000000e+000	3.476427e+000	2.783251e+000
1.739253045117098e-003	2.000000e+000	3.473489e+000	2.607470e+000
1.747623580831383e-003	2.000000e+000	3.474775e+000	2.523764e+000
1.755994116545669e-003	2.000000e+000	3.472304e+000	2.440059e+000
1.764364652259955e-003	2.000000e+000	3.466075e+000	2.356353e+000
1.772735187974240e-003	2.000000e+000	3.456088e+000	2.272648e+000
1.781105723688526e-003	2.000000e+000	3.442344e+000	2.188943e+000
1.789476259402812e-003	2.000000e+000	3.424841e+000	2.105237e+000
1.797846795117098e-003	2.000000e+000	3.403581e+000	2.021532e+000
1.800044060742098e-003	2.000000e+000	3.368862e+000	1.999559e+000
1.801590973000804e-003	2.000000e+000	3.170489e+000	1.984090e+000
1.802812451806778e-003	2.000000e+000	2.659891e+000	1.971876e+000
1.804212594677007e-003	2.000000e+000	1.864968e+000	1.957874e+000
1.804971645575019e-003	2.000000e+000	1.633070e+000	1.950284e+000
1.805519607176889e-003	2.000000e+000	1.604997e+000	1.944804e+000
1.807527145587030e-003	2.000000e+000	1.584696e+000	1.924729e+000
1.813034857745774e-003	2.000000e+000	1.570506e+000	1.869651e+000
1.818542569904518e-003	2.000000e+000	1.558592e+000	1.814574e+000
1.824050282063262e-003	2.000000e+000	1.548953e+000	1.759497e+000
1.829557994222005e-003	2.000000e+000	1.541590e+000	1.704420e+000
1.835065706380749e-003	2.000000e+000	1.536503e+000	1.649343e+000
1.840573418539493e-003	2.000000e+000	1.533691e+000	1.594266e+000
1.846081130698237e-003	2.000000e+000	1.533156e+000	1.539189e+000
1.857799880698237e-003	2.000000e+000	1.528995e+000	1.422001e+000
1.898815505698237e-003	2.000000e+000	1.523909e+000	1.011845e+000
1.904674880698237e-003	2.000000e+000	1.523665e+000	9.532512e-001
1.910534255698237e-003	2.000000e+000	1.523482e+000	8.946575e-001
1.916393630698237e-003	2.000000e+000	1.523353e+000	8.360637e-001
1.922253005698237e-003	2.000000e+000	1.523292e+000	7.774700e-001
1.928112380698237e-003	2.000000e+000	1.523361e+000	7.188762e-001
1.933971755698237e-003	2.000000e+000	1.523678e+000	6.602825e-001
1.939831130698237e-003	2.000000e+000	1.524332e+000	6.016887e-001
1.945690505698237e-003	2.000000e+000	1.525306e+000	5.430950e-001
1.951549880698237e-003	2.000000e+000	1.526532e+000	4.845012e-001
1.957409255698237e-003	2.000000e+000	1.527956e+000	4.259075e-001
1.963268630698237e-003	2.000000e+000	1.529556e+000	3.673137e-001
1.974987380698237e-003	2.000000e+000	1.533294e+000	2.501262e-001
1.992565505698236e-003	2.000000e+000	1.540546e+000	7.434496e-002
2.000000002000002e-003	2.000000e+000	1.544508e+000	2.664535e-015
2.005504547294578e-003	2.000000e+000	1.542328e+000	5.504545e-002
2.011009092589154e-003	2.000000e+000	1.540179e+000	1.100909e-001
2.016513637883730e-003	2.000000e+000	1.538063e+000	1.651364e-001
2.022018183178307e-003	2.000000e+000	1.535979e+000	2.201818e-001
2.027522728472883e-003	2.000000e+000	1.533926e+000	2.752273e-001
2.033027273767459e-003	2.000000e+000	1.531906e+000	3.302727e-001
2.038531819062035e-003	2.000000e+000	1.529918e+000	3.853182e-001
2.044391194062035e-003	2.000000e+000	1.528282e+000	4.439119e-001
2.050250569062035e-003	2.000000e+000	1.526821e+000	5.025057e-001
2.056109944062035e-003	2.000000e+000	1.525551e+000	5.610994e-001
