Freq.	V(vc)
2.29086765276776e+001	(1.48111731616814e+001dB,-1.56780227492117e+002°)
2.34422881531991e+001	(1.48423370741191e+001dB,-1.57265049779188e+002°)
2.39883291901948e+001	(1.48723082367445e+001dB,-1.57742430445908e+002°)
2.45470891568502e+001	(1.49011244768326e+001dB,-1.58212368057604e+002°)
2.51188643150957e+001	(1.49288230151023e+001dB,-1.58674869347145e+002°)
2.57039578276885e+001	(1.49554404277564e+001dB,-1.59129948823169e+002°)
2.63026799189537e+001	(1.49810126129034e+001dB,-1.59577628378001e+002°)
2.69153480392690e+001	(1.50055747612006e+001dB,-1.60017936897122e+002°)
2.75422870333815e+001	(1.50291613305207e+001dB,-1.60450909871862e+002°)
2.81838293126444e+001	(1.50518060244698e+001dB,-1.60876589016830e+002°)
2.88403150312659e+001	(1.50735417745431e+001dB,-1.61295021893450e+002°)
2.95120922666637e+001	(1.50944007257218e+001dB,-1.61706261540786e+002°)
3.01995172040200e+001	(1.51144142253015e+001dB,-1.62110366114709e+002°)
3.09029543251358e+001	(1.51336128147532e+001dB,-1.62507398536316e+002°)
3.16227766016837e+001	(1.51520262243953e+001dB,-1.62897426150361e+002°)
3.23593656929627e+001	(1.51696833706906e+001dB,-1.63280520394344e+002°)
3.31131121482590e+001	(1.51866123559568e+001dB,-1.63656756478775e+002°)
3.38844156139201e+001	(1.52028404702976e+001dB,-1.64026213079032e+002°)
3.46736850452530e+001	(1.52183941955706e+001dB,-1.64388972039112e+002°)
3.54813389233574e+001	(1.52332992112004e+001dB,-1.64745118087498e+002°)
3.63078054770100e+001	(1.52475804016716e+001dB,-1.65094738565264e+002°)
3.71535229097171e+001	(1.52612618655226e+001dB,-1.65437923166477e+002°)
3.80189396320559e+001	(1.52743669256934e+001dB,-1.65774763690886e+002°)
3.89045144994279e+001	(1.52869181410614e+001dB,-1.66105353808800e+002°)
3.98107170553495e+001	(1.52989373190379e+001dB,-1.66429788838053e+002°)
4.07380277804111e+001	(1.53104455290722e+001dB,-1.66748165532843e+002°)
4.16869383470333e+001	(1.53214631169584e+001dB,-1.67060581884260e+002°)
4.26579518801591e+001	(1.53320097198060e+001dB,-1.67367136932222e+002°)
